est_total_pop_u18,est_total_pop_u18_in_households,est_total_pop_u18_in_households_5yrs,est_total_pop_u18_in_households_6to8yrs,total_pop,est_total_household_income,est_total_household_income_u10k,est_total_household_income_10to15k,est_total_household_income_15to20k,est_total_household_income_20to25k,est_total_household_income_25to30k,est_total_household_income_30to35k,est_total_household_income_35to40k,est_total_household_income_40to45k,est_total_household_income_45to50k,est_total_household_income_50to60k,est_total_household_income_60to75k,est_total_household_income_75to100k,est_total_household_income_100to125k,est_total_household_income_125to150k,est_total_household_income_150to200k,est_total_household_income_200kplus,state,county,tract,GEOID
431,424,55,51,2205,1082,223,55,93,42,50,75,80,39,14,74,95,102,70,25,27,18,42,003,261400,42003261400
1274,1274,34,238,5401,2122,75,89,65,57,105,165,69,65,101,276,280,328,154,81,153,59,42,003,478200,42003478200
403,403,6,36,2363,1168,49,35,80,72,63,87,55,47,52,93,190,128,106,53,43,15,42,003,498000,42003498000
498,498,68,10,2383,1179,55,173,35,105,46,67,65,136,33,188,76,138,11,0,25,26,42,003,512000,42003512000
353,338,12,43,1321,624,49,44,0,53,44,104,77,26,46,36,49,39,46,11,0,0,42,003,561000,42003561000
360,360,10,0,3032,1506,57,23,19,85,78,76,109,80,73,171,124,267,159,30,54,101,42,003,419000,42003419000
705,705,33,84,3699,1559,92,9,26,76,74,17,49,81,18,138,96,196,233,187,153,114,42,003,413201,42003413201
1220,1220,12,313,5750,2396,108,56,51,111,117,158,50,56,92,199,150,333,305,205,268,137,42,003,452000,42003452000
389,389,29,42,2670,1254,212,39,91,97,93,55,54,57,48,106,88,102,61,103,31,17,42,003,465600,42003465600
684,684,35,101,4682,2221,144,27,87,123,42,211,119,122,27,180,208,374,249,143,79,86,42,003,475101,42003475101
231,231,17,39,1730,896,63,44,117,52,65,119,60,24,40,39,42,97,71,19,38,6,42,003,487000,42003487000
334,334,22,108,1449,669,50,40,43,38,36,20,29,24,25,61,69,91,59,18,66,0,42,003,404000,42003404000
161,161,13,46,2130,778,271,149,70,74,7,12,38,21,39,18,36,9,13,0,0,21,42,003,051000,42003051000
394,394,27,55,1869,789,174,110,75,89,57,54,11,23,10,28,40,83,35,0,0,0,42,003,513800,42003513800
785,785,0,220,4461,2132,127,70,78,102,82,108,77,109,88,122,346,306,364,49,24,80,42,003,521302,42003521302
619,619,48,55,4078,1863,46,87,112,71,54,52,103,129,61,128,151,344,246,133,102,44,42,003,521500,42003521500
794,794,78,61,4065,1844,31,62,80,85,106,114,90,184,104,108,201,234,150,114,99,82,42,003,523701,42003523701
832,832,21,123,4670,2325,91,17,69,113,148,149,180,130,79,380,329,262,210,48,49,71,42,003,523800,42003523800
429,429,10,25,2559,1296,247,112,33,82,89,39,72,198,40,54,118,69,96,12,35,0,42,003,262000,42003262000
291,291,19,36,1514,696,16,41,22,7,15,27,79,24,14,76,79,112,49,71,49,15,42,003,260700,42003260700
553,533,40,103,1744,769,183,54,30,56,18,63,33,40,23,40,85,77,29,9,22,7,42,003,261500,42003261500
777,777,16,145,4180,1879,69,58,98,40,141,85,98,130,87,218,184,398,149,48,76,0,42,003,191600,42003191600
668,668,6,82,3431,1486,96,0,19,74,53,43,32,10,13,30,119,83,167,155,187,405,42,003,140300,42003140300
558,558,44,38,4026,1754,55,38,59,91,89,88,74,74,51,234,239,245,110,126,97,84,42,003,470300,42003470300
113,113,3,11,1631,896,63,55,42,66,42,64,40,37,64,66,96,98,79,30,44,10,42,003,090300,42003090300
271,271,0,114,1230,694,182,157,109,40,33,68,19,14,8,8,8,19,6,23,0,0,42,003,130300,42003130300
489,489,0,98,2073,837,49,85,101,59,62,55,76,24,16,88,76,32,58,26,30,0,42,003,180300,42003180300
262,261,64,12,2484,1373,100,75,52,64,84,77,64,55,28,57,198,195,156,20,124,24,42,003,191400,42003191400
1040,1040,46,169,5141,2334,24,120,187,103,231,171,27,9,134,256,369,196,198,206,70,33,42,003,191800,42003191800
1039,1039,90,210,3102,1234,54,223,59,58,37,76,87,51,28,161,106,103,132,17,17,25,42,003,202200,42003202200
1045,1040,78,48,3234,1132,158,49,107,66,50,42,38,38,101,124,147,160,38,0,0,14,42,003,271500,42003271500
530,530,52,51,2007,888,66,44,122,107,40,31,69,10,48,96,71,123,29,26,6,0,42,003,290100,42003290100
955,945,76,133,4204,1799,99,136,120,129,96,92,135,61,85,92,119,336,159,114,26,0,42,003,290400,42003290400
1052,1052,136,191,3863,1468,74,159,108,162,64,138,57,239,102,42,110,92,19,91,11,0,42,003,300100,42003300100
663,663,10,134,2883,1309,157,153,106,109,42,80,82,29,81,219,28,111,40,52,20,0,42,003,401200,42003401200
456,456,26,99,2745,1114,28,29,29,53,41,26,34,32,69,136,181,140,156,47,69,44,42,003,401300,42003401300
1591,1591,34,188,7351,3067,83,59,137,117,85,130,71,226,43,178,226,328,408,222,261,493,42,003,414102,42003414102
579,579,56,111,2673,1013,44,30,21,6,46,14,17,29,38,36,62,138,110,117,134,171,42,003,415002,42003415002
241,241,0,47,1697,820,46,18,28,59,40,40,28,34,37,68,70,121,110,28,24,69,42,003,418000,42003418000
666,666,39,71,2724,1202,37,0,36,44,45,46,49,72,19,134,79,118,89,90,116,228,42,003,423000,42003423000
688,688,25,119,3350,1486,35,93,114,80,55,131,68,91,96,111,220,249,80,40,3,20,42,003,425000,42003425000
527,527,55,91,4061,1970,137,56,51,87,71,57,69,87,38,120,264,341,152,229,141,70,42,003,426400,42003426400
156,156,0,12,1194,515,13,21,26,11,13,18,8,17,41,53,101,58,58,26,47,4,42,003,428100,42003428100
486,486,36,76,2618,1174,54,35,58,60,83,25,15,25,97,80,150,138,127,102,54,71,42,003,429100,42003429100
946,946,21,224,4415,1799,66,43,43,18,46,59,77,69,64,89,156,267,203,212,218,169,42,003,429202,42003429202
255,255,21,113,3224,1868,118,114,74,158,79,186,126,169,209,144,155,162,65,40,37,32,42,003,431500,42003431500
531,530,52,78,2515,1261,123,104,80,108,42,79,11,67,82,96,147,141,104,48,19,10,42,003,450800,42003450800
87,87,0,14,720,489,5,5,23,8,20,33,6,27,26,65,64,102,53,21,15,16,42,003,459202,42003459202
456,456,27,110,2657,1320,157,78,99,71,122,77,91,34,64,155,145,50,74,32,39,32,42,003,463900,42003463900
242,242,22,23,1524,740,31,34,82,32,18,36,12,23,51,71,88,109,65,35,37,16,42,003,468700,42003468700
381,381,90,57,2109,1145,319,163,112,121,67,17,18,15,43,64,107,19,25,11,20,24,42,003,030500,42003030500
995,995,77,133,3858,1331,0,6,18,16,0,31,12,15,32,49,104,169,256,194,245,184,42,003,451104,42003451104
1019,1019,97,29,4920,2228,55,0,106,211,97,85,86,177,85,163,224,161,353,139,175,111,42,003,451105,42003451105
354,354,0,54,1920,793,20,31,18,63,35,24,18,25,37,67,80,65,119,51,76,64,42,003,453003,42003453003
1092,1092,126,100,6708,3192,57,280,70,158,132,114,122,140,75,166,285,443,482,278,170,220,42,003,453004,42003453004
677,677,115,120,3858,2012,52,66,25,68,105,20,54,102,27,170,220,502,276,161,101,63,42,003,470501,42003470501
455,455,0,120,2975,1258,21,29,55,47,46,16,48,51,54,97,128,145,156,109,152,104,42,003,470502,42003470502
465,465,0,132,2467,974,170,66,64,59,89,27,103,125,82,39,40,80,11,12,0,7,42,003,561900,42003561900
369,369,35,50,2212,1124,28,49,23,50,19,121,32,41,35,63,174,109,108,135,87,50,42,003,515401,42003515401
671,671,25,105,2535,934,13,7,0,27,35,19,12,18,17,0,42,118,143,92,147,244,42,003,474201,42003474201
1282,1282,26,119,4966,1922,22,17,27,76,36,60,18,21,60,87,126,162,201,178,206,625,42,003,474202,42003474202
872,872,86,111,3428,1345,34,30,50,30,60,71,43,45,36,165,106,216,195,79,142,43,42,003,480300,42003480300
371,371,0,52,2005,1049,106,64,85,30,86,85,51,58,9,124,103,99,73,76,0,0,42,003,484600,42003484600
634,630,0,51,2362,1094,258,154,185,16,41,48,70,0,16,40,87,67,27,39,9,37,42,003,486700,42003486700
567,567,36,57,1593,535,104,11,60,31,31,50,39,13,44,49,61,11,27,4,0,0,42,003,486900,42003486900
946,946,71,124,4616,2132,109,153,127,228,87,189,24,69,94,344,76,270,199,14,30,119,42,003,488400,42003488400
479,479,39,134,2817,1301,12,81,51,96,60,102,74,47,59,150,116,194,155,29,50,25,42,003,488500,42003488500
921,921,96,183,4758,2337,63,138,199,99,364,217,241,125,42,121,245,196,121,73,68,25,42,003,504100,42003504100
452,452,7,103,1576,800,119,60,46,92,61,124,90,20,11,43,93,23,0,13,0,5,42,003,510000,42003510000
512,512,12,22,2223,897,62,54,68,41,53,66,25,40,33,86,88,89,135,31,9,17,42,003,270300,42003270300
368,368,13,52,2185,998,20,55,22,68,40,27,31,26,54,140,81,223,55,49,42,65,42,003,320600,42003320600
373,373,5,18,2329,1013,24,19,15,60,43,72,12,61,39,102,92,198,148,66,50,12,42,003,406000,42003406000
1338,1338,53,274,5540,2051,143,105,56,75,16,0,60,68,48,87,187,310,255,73,138,430,42,003,408001,42003408001
1481,1481,33,280,5908,2170,34,0,53,30,67,61,40,46,93,78,148,235,328,253,300,404,42,003,408002,42003408002
893,893,133,190,4487,1941,231,96,96,79,41,53,93,13,28,76,119,240,186,125,160,305,42,003,140800,42003140800
387,387,29,89,2390,1113,38,82,75,25,24,45,30,0,10,60,104,152,74,53,118,223,42,003,110600,42003110600
243,243,0,5,1469,627,110,62,59,13,22,36,6,11,25,61,49,57,40,10,46,20,42,003,111400,42003111400
596,596,64,66,1702,779,245,106,83,70,20,113,12,27,8,46,40,9,0,0,0,0,42,003,130100,42003130100
215,215,20,11,953,434,0,6,7,5,12,0,5,12,17,43,41,34,36,46,83,87,42,003,141000,42003141000
550,550,19,33,3358,1645,197,130,166,68,50,162,192,54,60,114,160,126,138,0,15,13,42,003,424000,42003424000
424,424,15,162,3823,2211,144,54,122,69,148,110,109,49,117,132,297,288,151,167,121,133,42,003,429500,42003429500
449,449,10,93,1586,602,18,16,3,7,8,9,13,8,3,20,38,61,31,33,70,264,42,003,446000,42003446000
119,119,0,5,1725,935,72,46,28,29,22,71,90,61,46,87,71,128,68,45,41,30,42,003,080200,42003080200
542,542,28,115,3416,1568,133,35,74,32,72,30,23,48,74,168,153,195,222,177,67,65,42,003,191700,42003191700
559,559,50,102,3013,1434,134,205,71,108,113,48,35,85,0,102,142,85,44,0,114,148,42,003,111300,42003111300
336,332,12,33,1745,934,245,50,80,90,72,85,38,22,81,59,16,9,32,49,6,0,42,003,050100,42003050100
360,360,31,39,1746,780,59,9,65,85,43,29,16,76,40,94,79,110,20,37,18,0,42,003,499300,42003499300
165,161,25,43,601,268,50,13,47,28,33,20,21,3,4,4,14,9,13,0,9,0,42,003,250700,42003250700
846,846,71,137,4799,2301,111,90,33,110,139,192,73,124,82,178,233,286,296,136,183,35,42,003,427200,42003427200
347,347,10,88,2072,916,31,0,25,46,34,61,40,35,17,93,107,168,167,50,30,12,42,003,428200,42003428200
792,792,66,143,4496,1884,45,67,59,26,51,51,22,33,33,129,130,356,271,249,199,163,42,003,429201,42003429201
406,406,29,99,2115,901,36,13,73,42,42,12,32,32,40,96,136,99,158,45,34,11,42,003,430100,42003430100
428,428,13,118,3068,1751,125,133,72,97,75,128,81,33,92,233,196,239,112,36,47,52,42,003,431100,42003431100
352,352,17,48,1463,527,17,0,4,10,31,24,11,11,10,36,19,56,72,44,42,140,42,003,439000,42003439000
609,609,84,109,3168,1491,32,0,91,51,77,102,107,52,43,155,94,209,216,103,109,50,42,003,465800,42003465800
202,202,3,45,1271,638,30,25,41,65,32,65,23,7,24,78,86,78,25,25,25,9,42,003,471000,42003471000
286,286,10,13,2003,976,48,42,73,43,23,38,58,16,55,86,115,110,178,41,32,18,42,003,472300,42003472300
331,331,19,44,1828,778,41,5,19,5,17,27,9,59,11,42,90,186,114,83,58,12,42,003,472400,42003472400
433,433,12,67,3079,1423,59,59,66,59,57,15,49,58,58,63,180,176,335,67,75,47,42,003,476200,42003476200
648,648,46,105,4064,1844,87,35,77,117,122,51,45,63,93,165,198,210,163,165,142,111,42,003,477200,42003477200
832,832,24,81,3985,1827,93,133,69,97,78,93,28,158,130,93,228,205,183,122,87,30,42,003,478100,42003478100
984,984,55,95,5898,2735,87,125,85,85,253,153,196,141,86,201,281,481,193,180,87,101,42,003,503002,42003503002
623,623,48,68,3480,1504,50,0,35,82,44,33,30,69,19,167,108,238,267,143,164,55,42,003,489002,42003489002
894,878,54,154,4827,2177,142,74,61,54,87,171,55,220,93,274,211,317,199,110,97,12,42,003,490002,42003490002
910,900,88,160,5874,2684,158,73,89,133,172,193,101,199,153,147,279,366,216,175,110,120,42,003,564400,42003564400
590,590,6,99,2862,1188,48,49,5,13,57,75,41,48,76,121,97,163,175,86,70,64,42,003,564500,42003564500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980000,42003980000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980100,42003980100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980300,42003980300
0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,42,003,980600,42003980600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980400,42003980400
0,0,0,0,16,16,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,42,003,980500,42003980500
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980700,42003980700
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980800,42003980800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,981000,42003981000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,981100,42003981100
151,151,15,73,1718,802,44,52,30,70,20,42,11,44,26,41,120,106,66,13,39,78,42,003,170600,42003170600
447,447,63,110,2625,1253,59,103,48,159,138,61,129,8,59,111,83,157,102,20,16,0,42,003,499400,42003499400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,981200,42003981200
47,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,981800,42003981800
80,0,0,0,4618,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,42,003,982200,42003982200
0,0,0,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,003,980900,42003980900
458,458,54,52,2090,957,138,54,107,34,79,15,40,53,33,81,95,110,71,6,24,17,42,003,561600,42003561600
222,222,44,9,802,289,0,13,38,10,18,39,15,12,4,35,29,41,10,2,3,20,42,003,561700,42003561700
41,41,0,0,2858,1936,613,196,83,185,140,145,134,44,41,121,69,26,42,34,17,46,42,003,562000,42003562000
393,393,99,32,2914,1301,368,196,86,69,47,36,50,0,24,29,98,156,41,77,15,9,42,003,562300,42003562300
782,782,0,118,2723,1201,108,70,135,95,76,128,56,41,64,40,117,199,22,13,14,23,42,003,562400,42003562400
251,251,17,79,1528,749,68,61,74,72,10,21,17,48,43,63,81,83,53,22,29,4,42,003,562800,42003562800
428,428,0,105,1813,770,54,22,115,41,48,26,86,20,71,77,58,74,26,36,12,4,42,003,562900,42003562900
104,87,8,0,1877,1296,165,170,32,64,63,67,40,50,30,131,158,156,68,48,36,18,42,003,562700,42003562700
776,776,12,131,3355,1432,214,76,54,99,50,188,97,93,30,129,118,191,46,0,35,12,42,003,462600,42003462600
867,867,48,184,4885,2130,125,90,30,73,35,88,16,51,27,237,118,386,289,132,296,137,42,003,469000,42003469000
1046,1046,71,182,3742,1319,13,10,28,11,22,56,18,44,70,16,60,144,160,152,129,386,42,003,474101,42003474101
1097,1097,58,149,5442,2200,80,15,105,44,0,17,87,71,86,51,260,279,343,317,154,291,42,003,475304,42003475304
750,748,24,104,3931,1649,57,19,30,36,86,66,64,77,46,83,126,363,145,167,186,98,42,003,475401,42003475401
964,964,61,235,5134,2457,83,56,91,78,83,131,105,204,153,364,276,437,219,62,98,17,42,003,476100,42003476100
851,851,63,102,4486,1957,122,57,111,50,62,74,34,78,64,128,171,449,230,185,115,27,42,003,480400,42003480400
764,764,22,178,3170,1359,227,102,138,192,95,64,43,14,90,122,72,76,47,11,41,25,42,003,483800,42003483800
476,476,53,57,1866,736,106,83,55,87,39,54,49,23,42,55,42,17,10,74,0,0,42,003,550900,42003550900
305,305,23,65,1668,828,32,9,11,11,50,48,47,0,25,72,138,100,55,59,77,94,42,003,516200,42003516200
733,733,58,158,4256,1704,65,0,17,42,68,66,57,79,63,85,173,352,191,216,76,154,42,003,521100,42003521100
1121,1121,15,152,4195,1740,108,94,71,69,69,187,67,76,63,199,214,189,141,57,91,45,42,003,523200,42003523200
391,391,68,87,1500,457,64,71,176,7,40,33,2,0,15,30,11,8,0,0,0,0,42,003,552100,42003552100
236,236,13,33,2406,1310,61,40,20,87,61,33,44,74,35,138,57,171,120,84,113,172,42,003,560500,42003560500
619,619,58,59,1698,574,119,139,76,84,28,0,40,17,8,16,12,35,0,0,0,0,42,003,260900,42003260900
86,86,6,8,721,386,67,21,29,34,9,17,22,37,4,32,50,34,19,11,0,0,42,003,241200,42003241200
211,207,0,79,1154,572,94,12,44,7,32,47,15,9,21,27,23,68,55,35,48,35,42,003,250300,42003250300
118,118,15,19,1026,592,97,61,51,52,138,8,39,8,23,17,10,40,20,21,0,7,42,003,250900,42003250900
231,231,5,33,1019,481,14,5,16,17,22,17,4,21,22,44,79,61,74,34,45,6,42,003,261200,42003261200
1326,1326,68,221,5125,1874,27,29,8,19,29,54,41,59,15,75,101,179,118,164,291,665,42,003,412002,42003412002
980,975,0,130,6809,3012,169,53,176,107,99,147,121,116,147,187,243,462,214,334,268,169,42,003,413500,42003413500
385,385,19,69,2041,942,26,8,30,71,26,91,28,44,47,120,98,150,114,55,27,7,42,003,417100,42003417100
258,258,0,33,2918,1306,59,33,34,45,39,37,53,58,57,151,221,329,93,38,44,15,42,003,563000,42003563000
650,650,30,150,3524,1676,0,56,103,101,148,72,77,64,88,140,301,252,135,65,53,21,42,003,563100,42003563100
644,644,60,33,2417,1085,181,94,136,80,120,76,106,142,22,20,40,7,41,0,0,20,42,003,562500,42003562500
664,664,0,129,2520,1056,78,83,57,52,99,19,91,25,43,60,166,127,77,13,48,18,42,003,562600,42003562600
110,110,0,20,2088,1447,214,128,69,115,50,101,47,52,10,108,111,153,84,53,72,80,42,003,563200,42003563200
354,354,11,32,1432,544,4,2,9,27,10,9,8,0,12,15,35,34,24,65,33,257,42,003,563300,42003563300
655,655,34,122,3853,1727,55,59,56,52,59,49,65,60,47,126,212,216,174,96,130,271,42,003,563800,42003563800
670,670,52,170,4004,1928,72,63,57,110,86,97,116,172,116,154,169,291,166,86,107,66,42,003,563900,42003563900
1597,1597,76,203,6590,2541,64,30,56,99,98,123,166,43,70,249,149,321,242,185,471,175,42,003,564000,42003564000
181,181,10,28,883,368,10,0,2,5,5,2,11,7,5,13,19,31,36,38,68,116,42,003,564100,42003564100
272,272,7,103,2091,1015,29,35,79,51,76,22,51,61,54,47,102,225,79,40,10,54,42,003,564200,42003564200
273,273,31,25,2109,1026,108,75,39,65,79,108,144,77,6,46,131,76,27,26,19,0,42,003,492900,42003492900
488,488,103,18,2769,1303,208,90,18,110,94,20,48,93,35,134,183,175,66,21,3,5,42,003,515100,42003515100
448,448,22,25,3007,1279,26,28,58,29,39,56,68,34,84,137,118,254,154,84,75,35,42,003,521401,42003521401
260,260,26,41,1865,944,36,21,25,76,19,20,35,11,21,67,72,166,176,19,84,96,42,003,525100,42003525100
688,628,21,79,3381,1718,342,260,103,139,62,148,59,25,97,104,114,175,59,12,19,0,42,003,551200,42003551200
450,450,17,50,1701,816,85,124,69,81,26,59,36,33,20,100,23,96,27,0,20,17,42,003,552300,42003552300
18,17,0,0,837,594,178,108,43,38,6,22,77,21,27,11,36,9,11,7,0,0,42,003,560600,42003560600
652,652,29,123,3572,1579,33,60,71,62,73,105,34,47,35,126,92,366,134,106,120,115,42,003,460002,42003460002
1016,1016,51,139,3732,1370,35,15,19,34,58,34,25,8,9,54,137,74,195,181,180,312,42,003,474102,42003474102
1264,1264,64,242,4762,1648,27,12,7,13,52,25,32,34,32,67,93,176,171,260,296,351,42,003,474203,42003474203
618,618,27,89,3343,1533,66,41,0,63,35,73,38,43,102,72,141,276,264,141,65,113,42,003,477100,42003477100
235,235,18,48,1148,532,76,13,31,33,7,45,36,26,22,70,43,72,45,5,4,4,42,003,485000,42003485000
669,669,45,105,3714,1518,45,66,24,56,25,28,70,17,52,131,171,236,269,136,96,96,42,003,490003,42003490003
1763,1763,76,272,6964,2642,16,29,55,119,81,30,14,58,102,183,267,312,260,253,442,421,42,003,491101,42003491101
723,723,54,74,3697,1742,93,98,86,81,181,45,86,68,68,120,165,397,96,102,12,44,42,003,500300,42003500300
239,239,0,30,1621,802,35,66,64,77,62,66,24,48,16,86,69,103,19,22,37,8,42,003,501000,42003501000
431,431,24,35,3036,1519,42,44,72,138,118,80,40,75,167,173,193,163,94,52,54,14,42,003,520002,42003520002
697,697,33,120,4123,1963,209,141,135,126,36,83,90,146,33,36,237,132,334,104,42,79,42,003,521301,42003521301
319,319,0,102,2145,832,57,87,103,53,0,27,25,41,13,55,69,53,136,43,52,18,42,003,050600,42003050600
84,84,0,14,3725,2119,384,109,91,56,90,78,51,84,71,185,89,212,180,77,274,88,42,003,170200,42003170200
639,639,0,115,3175,1443,191,92,80,92,93,115,19,109,64,98,225,167,46,8,40,4,42,003,402000,42003402000
1457,1457,0,238,5121,1797,0,27,51,0,22,0,38,14,15,83,75,187,122,103,126,934,42,003,422000,42003422000
541,491,0,30,5520,946,55,24,12,0,63,43,18,0,16,0,57,106,55,45,68,384,42,003,140100,42003140100
373,373,9,45,2045,845,40,12,41,71,106,5,50,51,62,68,105,81,65,55,13,20,42,003,320400,42003320400
1119,1085,39,238,6383,2824,102,106,214,119,126,110,118,53,102,132,262,475,344,293,149,119,42,003,407002,42003407002
2595,2595,81,574,9053,3190,42,27,0,75,12,30,49,50,67,206,323,247,347,224,526,965,42,003,411000,42003411000
1142,1142,57,174,5970,2526,95,18,54,69,67,71,108,69,121,154,316,386,435,160,193,210,42,003,426300,42003426300
561,557,25,88,2892,1463,81,17,18,141,118,88,63,24,52,100,76,167,149,143,129,97,42,003,473200,42003473200
1314,1314,33,209,5437,2225,58,27,45,38,61,124,71,70,54,93,202,208,257,241,310,366,42,003,473300,42003473300
951,951,53,198,3574,1492,88,42,54,30,65,0,33,34,67,89,103,162,137,113,151,324,42,003,473401,42003473401
958,958,49,158,3691,1266,0,10,17,35,20,38,9,26,0,63,41,168,106,166,180,387,42,003,473500,42003473500
777,777,34,133,3417,1460,72,0,26,99,28,46,24,35,56,70,62,105,138,134,206,359,42,003,473402,42003473402
928,928,23,145,4537,1925,48,44,63,47,30,71,62,72,142,64,222,277,122,221,179,261,42,003,473602,42003473602
558,558,20,117,2915,1191,35,13,16,42,38,64,33,22,69,66,140,83,129,89,151,201,42,003,475402,42003475402
1188,1188,97,197,5431,2234,63,96,104,283,214,147,37,147,83,207,203,290,156,58,90,56,42,003,480101,42003480101
813,813,80,92,3324,1379,251,93,114,104,44,50,60,64,133,38,158,104,70,70,0,26,42,003,481000,42003481000
319,319,18,10,2046,903,36,46,59,63,41,24,48,19,31,80,59,139,88,68,58,44,42,003,488300,42003488300
730,729,62,79,4755,2223,167,45,106,86,95,97,102,37,92,169,264,426,216,83,180,58,42,003,488600,42003488600
136,136,0,11,870,438,47,57,38,99,5,17,12,33,25,17,24,25,0,33,6,0,42,003,552200,42003552200
159,159,3,34,1244,665,34,51,35,60,4,30,33,32,23,65,62,76,34,43,44,39,42,003,060500,42003060500
156,156,0,20,2192,1124,76,48,60,107,23,31,24,26,82,64,103,90,103,66,41,180,42,003,070300,42003070300
108,108,11,20,2150,1315,150,21,63,57,12,37,38,24,25,143,117,269,79,82,65,133,42,003,070600,42003070600
152,147,4,26,1911,1027,49,44,14,18,12,90,41,73,68,87,108,164,81,117,30,31,42,003,080900,42003080900
89,89,8,40,1943,1139,33,36,9,61,93,49,46,51,8,81,112,141,135,35,99,150,42,003,090100,42003090100
